Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,13 to 19,Male,Shooting,Not Domestic,Mar-17,Murder, Unsolved ,Barking & Dagenham,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Aug-17,Murder,Solved,Barking & Dagenham,Black
1,0 to 12,Female,Other Methods of Killing,Not Domestic,Oct-17,Manslaughter,Solved,Barking & Dagenham,Asian
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Apr-17,Murder,Solved,Enfield,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,May-17,Murder,Solved,Enfield,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,May-17,Murder,Solved,Enfield,Black
1,20 to 24,Female,Knife or Sharp Implement,Domestic,Jul-17,Murder,Solved,Enfield,Black
1,13 to 19,Male,Other Methods of Killing,Not Domestic,Aug-17,Murder,Solved,Enfield,Asian
1,45 to 54,Male,Shooting,Not Domestic,Aug-17,Murder, Unsolved ,Enfield,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Dec-17,Murder,Solved,Enfield,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Dec-17,Murder,Solved,Enfield,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Apr-17,Murder, Unsolved ,Newham,Black
1,13 to 19,Male,Shooting,Not Domestic,Apr-17,Murder, Unsolved ,Newham,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Jun-17,Murder,Solved,Newham,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jun-17,Murder,Solved,Newham,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Aug-17,Murder,Solved,Newham,White
1,13 to 19,Male,Shooting,Not Domestic,Aug-17,Murder,Solved,Newham,Black
1,13 to 19,Male,Shooting,Not Domestic,Sep-17,Murder, Unsolved ,Newham,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Oct-17,Murder,Solved,Newham,Asian
1,25 to 34,Male,Blunt Implement,Not Domestic,Oct-17,Murder,Solved,Newham,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Nov-17,Murder,Solved,Newham,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Dec-17,Murder, Unsolved ,Newham,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,May-17,Murder,Solved,Havering,Other
1,65 and over,Female,Knife or Sharp Implement,Domestic,Jul-17,Murder, Unsolved ,Ealing,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jul-17,Murder,Solved,Havering,White
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Oct-17,Murder,Solved,Havering,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Jul-17,Corporate Manslaughter,Solved,Kensington & Chelsea,White
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic,Oct-17,Murder,Solved,Kensington & Chelsea,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Oct-17,Murder,Solved,Ealing,Other
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Mar-17,Murder,Solved,Westminster,White
1,35 to 44,Female,Other Methods of Killing,Not Domestic,Mar-17,Murder,Solved,Westminster,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic,Mar-17,Murder,Solved,Westminster,White
1,65 and over,Male,Other Methods of Killing,Not Domestic,Mar-17,Murder,Solved,Westminster,Not Reported/Not known
1,25 to 34,Female,Other Methods of Killing,Not Domestic,Apr-17,Murder,Solved,Westminster,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Apr-17,Murder,Solved,Westminster,White
1,25 to 34,Female,Knife or Sharp Implement,Not Domestic,May-17,Murder,Solved,Ealing,White
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Jun-17,Murder,Solved,Westminster,White
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Jul-17,Murder,Solved,Westminster,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Oct-17,Murder,Solved,Westminster,Other
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Mar-18,Murder,Solved,Wandsworth,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Apr-18,Murder,Solved,Wandsworth,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Aug-18,Murder,Solved,Wandsworth,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Oct-18,Murder,Solved,Wandsworth,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Nov-18,Murder,Solved,Wandsworth,Black
1,55 to 64,Female,Blunt Implement,Domestic,Nov-18,Murder,Solved,Wandsworth,Asian
1,65 and over,Male,"Pysical Assualt, no weapon",Not Domestic,Mar-18,Murder, Unsolved ,Kingston Upon Thames,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Aug-18,Murder,Solved,Kingston Upon Thames,Asian
1,45 to 54,Male,Other Methods of Killing,Not Domestic,Aug-18,Murder,Solved,Kingston Upon Thames,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Mar-18,Murder,Solved,Hounslow,Black
1,45 to 54,Female,Knife or Sharp Implement,Domestic,Mar-18,Murder, Unsolved ,Richmond Upon Thames,White
1,65 and over,Female,Other Methods of Killing,Not Domestic,Aug-18,Murder,Solved,Richmond Upon Thames,White
1,55 to 64,Male,Not known/Not Recorded,Not Domestic,Nov-18,Murder,Solved,Richmond Upon Thames,White
1,65 and over,Female,"Pysical Assualt, no weapon",Domestic,May-18,Murder,Solved,Hillingdon,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,May-18,Murder,Solved,Hillingdon,Black
1,25 to 34,Female,Blunt Implement,Domestic,Sep-18,Murder,Solved,Hillingdon,White
1,20 to 24,Male,Shooting,Not Domestic,Oct-18,Murder,Solved,Hillingdon,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jan-18,Murder,Solved,Lambeth,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Feb-18,Murder,Solved,Lambeth,White
1,35 to 44,Female,Knife or Sharp Implement,Not Domestic,Apr-18,Murder,Solved,Lambeth,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,May-18,Murder,Solved,Lambeth,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic,May-18,Murder, Unsolved ,Lambeth,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jul-18,Murder, Unsolved ,Lambeth,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Nov-18,Murder, Unsolved ,Lambeth,Black
1,25 to 34,Male,"Pysical Assualt, no weapon",Not Domestic,Apr-18,Murder,Solved,Merton,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,May-18,Murder,Solved,Ealing,Asian
1,35 to 44,Male,Shooting,Not Domestic,May-18,Murder,Solved,Brent,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,May-18,Murder, Unsolved ,Brent,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Jun-18,Murder,Solved,Brent,White
1,55 to 64,Female,Knife or Sharp Implement,Not Domestic,Feb-18,Murder,Solved,Camden,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Feb-18,Murder,Solved,Camden,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Feb-18,Murder,Solved,Camden,Black
1,65 and over,Female,Knife or Sharp Implement,Not Domestic,Apr-18,Manslaughter,Solved,Camden,White
1,45 to 54,Male,Blunt Implement,Not Domestic,Apr-18,Murder,Solved,Camden,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Oct-18,Manslaughter,Solved,Camden,Asian
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Jan-18,Murder,Solved,Barnet,Asian
1,35 to 44,Male,Shooting,Not Domestic,Feb-18,Murder, Unsolved ,Barnet,White
1,25 to 34,Male,Knife or Sharp Implement,Domestic,Apr-18,Murder,Solved,Barnet,White
1,45 to 54,Male,Knife or Sharp Implement,Domestic,Oct-18,Murder,Solved,Barnet,White
1,65 and over,Female,Other Methods of Killing,Not Domestic,Dec-18,Manslaughter, Unsolved ,Barnet,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jan-18,Murder,Solved,Ealing,Black
1,25 to 34,Male,Knife or Sharp Implement,Domestic,Feb-18,Murder,Solved,Ealing,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Mar-18,Murder,Solved,Ealing,Asian
1,65 and over,Female,Other Methods of Killing,Not Domestic,Nov-18,Manslaughter,Solved,Ealing,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Jan-18,Murder,Solved,Islington,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Apr-18,Murder, Unsolved ,Islington,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,May-18,Murder,Solved,Islington,Black
1,55 to 64,Female,"Pysical Assualt, no weapon",Domestic,Jul-18,Murder,Solved,Islington,Asian
1,35 to 44,Female,Other Methods of Killing,Domestic,Jul-18,Murder,Solved,Islington,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Sep-18,Murder,Solved,Islington,Asian
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic,Jan-18,Manslaughter,Solved,Haringey,White
1,0 to 12,Female,Other Methods of Killing,Not Domestic,Feb-18,Murder,Solved,Haringey,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Feb-18,Murder,Solved,Haringey,Black
1,13 to 19,Male,Shooting,Not Domestic,Mar-18,Murder, Unsolved ,Haringey,Black
1,35 to 44,Female,Knife or Sharp Implement,Domestic,Mar-18,Murder,Solved,Haringey,Black
1,13 to 19,Female,Shooting,Not Domestic,Apr-18,Murder, Unsolved ,Haringey,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Jun-18,Murder,Solved,Haringey,White
1,20 to 24,Male,Shooting,Not Domestic,Sep-18,Murder,Solved,Haringey,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Dec-18,Murder,Solved,Haringey,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Feb-18,Murder,Solved,Southwark,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Feb-18,Murder,Solved,Southwark,White
1,13 to 19,Male,Shooting,Not Domestic,May-18,Murder, Unsolved ,Southwark,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Jun-18,Murder,Solved,Southwark,Black
1,13 to 19,Female,Knife or Sharp Implement,Domestic,Jul-18,Murder,Solved,Southwark,White
1,65 and over,Female,Knife or Sharp Implement,Domestic,Jul-18,Murder,Solved,Southwark,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Aug-18,Murder,Solved,Southwark,Black
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic,Aug-18,Murder,Solved,Southwark,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Oct-18,Murder,Solved,Southwark,White
1,65 and over,Female,Knife or Sharp Implement,Domestic,Nov-18,Murder,Solved,Southwark,White
1,35 to 44,Male,"Pysical Assualt, no weapon",Not Domestic,Mar-18,Murder,Solved,Lewisham,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Aug-18,Murder, Unsolved ,Lewisham,Black
1,65 and over,Male,Knife or Sharp Implement,Not Domestic,Aug-18,Murder,Solved,Lewisham,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Nov-18,Murder,Solved,Lewisham,Black
1,25 to 34,Female,"Pysical Assualt, no weapon",Domestic,May-18,Murder,Solved,Bromley,White
1,65 and over,Female,Blunt Implement,Domestic,Aug-18,Murder,Solved,Bromley,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Nov-18,Murder,Solved,Bromley,Black
1,45 to 54,Male,Blunt Implement,Not Domestic,Jan-18,Murder,Solved,Redbridge,Asian
1,25 to 34,Male,Blunt Implement,Not Domestic,Feb-18,Murder,Solved,Greenwich,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Mar-18,Murder, Unsolved ,Greenwich,Black
1,13 to 19,Female,"Pysical Assualt, no weapon",Domestic,Apr-18,Murder,Solved,Greenwich,White
1,25 to 34,Male,Other Methods of Killing,Not Domestic,Apr-18,Murder,Solved,Greenwich,Black
1,55 to 64,Female,Knife or Sharp Implement,Not Domestic,Jun-18,Murder,Solved,Greenwich,Asian
1,65 and over,Female,Knife or Sharp Implement,Domestic,Jul-18,Murder,Solved,Greenwich,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Aug-18,Murder,Solved,Greenwich,Black
1,45 to 54,Female,Other Methods of Killing,Not Domestic,Sep-18,Murder,Solved,Greenwich,Black
1,13 to 19,Male,Shooting,Not Domestic,Oct-18,Murder, Unsolved ,Greenwich,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Dec-18,Murder,Solved,Greenwich,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Dec-18,Murder,Solved,Greenwich,White
1,0 to 12,Male,Not known/Not Recorded,Not Domestic,Feb-18,Murder,Solved,Croydon,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Mar-18,Murder,Solved,Croydon,Black
1,55 to 64,Male,Not known/Not Recorded,Not Domestic,Sep-18,Manslaughter, Unsolved ,Croydon,Asian
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Apr-18,Corporate Manslaughter, Unsolved ,Bexley,Black
1,35 to 44,Male,Knife or Sharp Implement,Domestic,Apr-18,Murder,Solved,Tower Hamlets,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic,Aug-18,Manslaughter,Solved,Tower Hamlets,White
1,25 to 34,Female,"Pysical Assualt, no weapon",Domestic,Oct-18,Murder,Solved,Tower Hamlets,Asian
1,45 to 54,Female,"Pysical Assualt, no weapon",Not Domestic,Dec-18,Murder,Solved,Tower Hamlets,White
1,35 to 44,Female,Knife or Sharp Implement,Domestic,Jan-18,Murder,Solved,Redbridge,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic,Feb-18,Murder,Solved,Redbridge,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Oct-18,Murder,Solved,Redbridge,Black
1,35 to 44,Female,Knife or Sharp Implement,Domestic,Nov-18,Murder,Solved,Redbridge,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jan-18,Murder,Solved,Hackney,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jan-18,Murder, Unsolved ,Hackney,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Mar-18,Murder,Solved,Hackney,Black
1,25 to 34,Male,Shooting,Not Domestic,Mar-18,Murder, Unsolved ,Hackney,Black
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Apr-18,Murder, Unsolved ,Hackney,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Apr-18,Murder,Solved,Hackney,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Sep-18,Murder, Unsolved ,Hackney,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Nov-18,Murder,Solved,Hackney,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Feb-18,Murder,Solved,Waltham Forest,White
1,20 to 24,Male,Shooting,Not Domestic,Mar-18,Murder,Solved,Waltham Forest,White
1,35 to 44,Male,Knife or Sharp Implement,Domestic,Mar-18,Murder,Solved,Waltham Forest,Black
1,13 to 19,Male,Shooting,Not Domestic,Apr-18,Murder, Unsolved ,Waltham Forest,Asian
1,55 to 64,Male,Other Methods of Killing,Not Domestic,Jul-18,Murder, Unsolved ,Waltham Forest,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Aug-18,Murder,Solved,Waltham Forest,White
1,13 to 19,Male,Shooting,Not Domestic,Sep-18,Murder,Solved,Waltham Forest,Not Reported/Not known
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Feb-18,Murder,Solved,Barking & Dagenham,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Mar-18,Murder,Solved,Barking & Dagenham,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,May-18,Murder,Solved,Barking & Dagenham,Black
1,45 to 54,Female,"Pysical Assualt, no weapon",Domestic,Aug-18,Murder,Solved,Barking & Dagenham,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Oct-18,Murder,Solved,Barking & Dagenham,White
1,20 to 24,Male,Shooting,Not Domestic,Mar-18,Murder,Solved,Enfield,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Jun-18,Murder, Unsolved ,Enfield,White
1,13 to 19,Male,Blunt Implement,Not Domestic,Aug-18,Murder,Solved,Enfield,Black
1,20 to 24,Male,Shooting,Not Domestic,Dec-18,Murder, Unsolved ,Enfield,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Feb-18,Murder,Solved,Newham,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Mar-18,Murder,Solved,Newham,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Apr-18,Murder, Unsolved ,Newham,Other
1,65 and over,Male,"Pysical Assualt, no weapon",Domestic,Sep-18,Murder,Solved,Newham,Asian
1,65 and over,Female,Blunt Implement,Not Domestic,May-18,Murder,Solved,Havering,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jun-18,Murder,Solved,Havering,Black
1,0 to 12,Male,Not known/Not Recorded,Not Domestic,Sep-18,Manslaughter,Solved,Havering,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Feb-18,Murder,Solved,Ealing,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,May-18,Murder,Solved,Kensington & Chelsea,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jan-18,Murder,Solved,Hammersmith & Fulham,Black
1,35 to 44,Male,Knife or Sharp Implement,Domestic,Mar-18,Murder,Solved,Hammersmith & Fulham,White
1,20 to 24,Male,Shooting,Not Domestic,Feb-18,Murder,Solved,Westminster,Other
1,65 and over,Male,Other Methods of Killing,Not Domestic,Oct-18,Manslaughter,Solved,Westminster,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Feb-19,Murder,Solved,Wandsworth,Black
1,45 to 54,Female,"Pysical Assualt, no weapon",Not Domestic,Mar-19,Murder,Solved,Wandsworth,White
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,May-19,Murder,Solved,Wandsworth,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Jun-19,Murder,Solved,Wandsworth,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jun-19,Murder,Solved,Wandsworth,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Jul-19,Murder,Solved,Wandsworth,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Aug-19,Murder,Solved,Wandsworth,Black
1,35 to 44,Male,Shooting,Not Domestic,Dec-19,Murder,Solved,Wandsworth,White
1,20 to 24,Male,Other Methods of Killing,Not Domestic,Jul-19,Murder,Solved,Ealing,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Dec-19,Murder,Solved,Kingston Upon Thames,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Mar-19,Murder, Unsolved ,Hounslow,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,May-19,Murder, Unsolved ,Hounslow,Asian
1,25 to 34,Male,Shooting,Not Domestic,Jun-19,Murder, Unsolved ,Hounslow,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Dec-19,Murder,Solved,Hounslow,Black
1,25 to 34,Female,"Pysical Assualt, no weapon",Not Domestic,Mar-19,Murder,Solved,Richmond Upon Thames,White
1,65 and over,Female,Knife or Sharp Implement,Domestic,Jul-19,Murder,Solved,Richmond Upon Thames,Asian
1,55 to 64,Male,Knife or Sharp Implement,Domestic,Jul-19,Murder,Solved,Richmond Upon Thames,Asian
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Jul-19,Murder, Unsolved ,Hillingdon,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Nov-19,Murder,Solved,Hillingdon,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Feb-19,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Shooting,Not Domestic,Mar-19,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Mar-19,Murder,Solved,Lambeth,Black
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Jun-19,Murder, Unsolved ,Lambeth,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Aug-19,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Aug-19,Murder,Solved,Lambeth,White
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic,Sep-19,Murder,Solved,Lambeth,White
1,25 to 34,Male,Other Methods of Killing,Not Domestic,Apr-19,Murder,Solved,Brent,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Apr-19,Murder,Solved,Brent,Black
1,25 to 34,Male,Shooting,Not Domestic,Jul-19,Murder,Solved,Brent,Black
1,25 to 34,Male,Shooting,Not Domestic,Jul-19,Murder,Solved,Brent,Black
1,20 to 24,Female,Knife or Sharp Implement,Domestic,Oct-19,Murder, Unsolved ,Brent,Black
1,35 to 44,Male,"Pysical Assualt, no weapon",Not Domestic,Nov-19,Murder,Solved,Brent,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Dec-19,Murder,Solved,Brent,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Mar-19,Murder,Solved,Harrow,Asian
1,0 to 12,Male,Not known/Not Recorded,Not Domestic,Nov-19,Infanticide, Unsolved ,Harrow,White
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Feb-19,Murder,Solved,Camden,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Feb-19,Murder,Solved,Camden,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Apr-19,Murder, Unsolved ,Camden,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Jul-19,Murder,Solved,Camden,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Aug-19,Murder,Solved,Camden,Black
1,20 to 24,Male,Shooting,Not Domestic,Sep-19,Murder, Unsolved ,Camden,Black
1,20 to 24,Female,Knife or Sharp Implement,Not Domestic,Sep-19,Murder,Solved,Camden,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Sep-19,Murder, Unsolved ,Camden,Black
1,45 to 54,Female,Knife or Sharp Implement,Domestic,Mar-19,Murder,Solved,Barnet,White
1,65 and over,Male,Other Methods of Killing,Domestic,Apr-19,Murder, Unsolved ,Barnet,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Jun-19,Murder,Solved,Barnet,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Dec-19,Murder,Solved,Barnet,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Dec-19,Murder,Solved,Barnet,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jan-19,Murder, Unsolved ,Ealing,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Jun-19,Manslaughter,Solved,Kensington & Chelsea,White
1,65 and over,Male,Knife or Sharp Implement,Not Domestic,Aug-19,Murder,Solved,Ealing,White
1,55 to 64,Female,Blunt Implement,Not Domestic,Sep-19,Murder,Solved,Ealing,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Sep-19,Murder,Solved,Ealing,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Sep-19,Murder,Solved,Ealing,Not Reported/Not known
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Nov-19,Murder,Solved,Ealing,Other
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic,Dec-19,Murder, Unsolved ,Ealing,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jan-19,Murder, Unsolved ,Islington,White
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Jun-19,Murder,Solved,Islington,White
1,55 to 64,Male,Other Methods of Killing,Not Domestic,Jul-19,Murder,Solved,Islington,White
1,55 to 64,Female,Other Methods of Killing,Not Domestic,Oct-19,Murder,Solved,Islington,Black
1,13 to 19,Male,Shooting,Not Domestic,Feb-19,Murder,Solved,Haringey,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jun-19,Murder,Solved,Haringey,White
1,65 and over,Female,Blunt Implement,Not Domestic,Aug-19,Murder,Solved,Haringey,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Aug-19,Murder,Solved,Haringey,Black
1,25 to 34,Male,Shooting,Not Domestic,Sep-19,Murder,Solved,Haringey,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Dec-19,Murder,Solved,Haringey,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Jan-19,Murder,Solved,Southwark,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Feb-19,Murder,Solved,Southwark,Black
1,0 to 12,Female,Not known/Not Recorded,Not Domestic,Apr-19,Murder, Unsolved ,Southwark,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,May-19,Murder,Solved,Southwark,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jun-19,Murder,Solved,Southwark,Black
1,0 to 12,Male,Not known/Not Recorded,Not Domestic,Jul-19,Murder,Solved,Southwark,Not Reported/Not known
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Oct-19,Murder,Solved,Southwark,Black
1,35 to 44,Female,Other Methods of Killing,Domestic,Oct-19,Murder, Unsolved ,Southwark,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,May-19,Murder,Solved,Lewisham,Not Reported/Not known
1,55 to 64,Female,Not known/Not Recorded,Not Domestic,Jun-19,Murder, Unsolved ,Lewisham,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Dec-19,Murder,Solved,Lewisham,Black
1,55 to 64,Female,Blunt Implement,Not Domestic,Jul-19,Murder,Solved,Bromley,White
1,13 to 19,Male,Shooting,Not Domestic,Jun-19,Murder, Unsolved ,Greenwich,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Jul-19,Murder,Solved,Greenwich,Black
1,45 to 54,Female,Knife or Sharp Implement,Not Domestic,Oct-19,Murder, Unsolved ,Greenwich,White
1,25 to 34,Male,Other Methods of Killing,Not Domestic,Oct-19,Murder,Solved,Greenwich,White
1,0 to 12,Female,"Pysical Assualt, no weapon",Not Domestic,Mar-19,Murder,Solved,Croydon,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Jun-19,Murder,Solved,Croydon,Black
1,0 to 12,Male,Knife or Sharp Implement,Not Domestic,Jul-19,Murder,Solved,Croydon,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jul-19,Murder, Unsolved ,Croydon,Black
1,0 to 12,Male,"Pysical Assualt, no weapon",Not Domestic,Oct-19,Murder,Solved,Croydon,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Dec-19,Murder,Solved,Croydon,Black
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic,Dec-19,Murder,Solved,Croydon,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Oct-19,Murder,Solved,Bexley,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic,Dec-19,Murder, Unsolved ,Bexley,White
1,35 to 44,Female,"Pysical Assualt, no weapon",Domestic,Jan-19,Murder,Solved,Tower Hamlets,Asian
